direct or enc-dec,sample id,model name,baseline perf,baseline variance,n baseline,non-baseline perf,non-baseline variance,n non-baseline,all perf,all variance,n all
direct,HumanEval/126,openrouter/openai/gpt-5-nano,0.99543483223,3.3345210828e-05,13,0.996997315247,2.70782969124e-05,28,0.996501893802,2.95940123635e-05,41
direct,HumanEval/126,openrouter/xiaomi/mimo-v2-flash,1,0,2,0.990579812538,0.000144202389198,21,0.991398959274,0.000138708565442,23
direct,HumanEval/127,openrouter/openai/gpt-5-nano,0.763857947844,0.0304512140637,13,0.763458262351,0.0636436461202,20,0.763615714212,0.0505678776926,33
direct,HumanEval/127,openrouter/xiaomi/mimo-v2-flash,1,0,2,0.920053541008,0.0234352664533,28,0.92538330494,0.0222706047265,30
direct,HumanEval/128,openrouter/openai/gpt-5-nano,1,0,6,0.9,0.09,10,0.9375,0.05859375,16
direct,HumanEval/129,openrouter/openai/gpt-5-nano,0.35103475205,0.188670931421,13,0.728849407783,0.170937404268,12,0.532385786802,0.215787719343,25
direct,HumanEval/129,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/131,openrouter/openai/gpt-5-nano,1,0,13,1,0,24,1,0,37
direct,HumanEval/131,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,13,1,0,15
direct,HumanEval/132,openrouter/openai/gpt-5-nano,0.961538461538,6.36206335497e-05,13,0.897293729373,0.0575970939668,30,0.916716555376,0.0410738212762,43
direct,HumanEval/132,openrouter/xiaomi/mimo-v2-flash,0.539603960396,0.182946769925,2,0.895910460611,0.021072725551,23,0.867405940594,0.0433664872071,25
direct,HumanEval/133,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/134,openrouter/openai/gpt-5-nano,0.989835989836,0.000126999433999,13,0.99032365699,7.30348856253e-05,12,0.99007007007,0.000101155810465,25
direct,HumanEval/134,openrouter/xiaomi/mimo-v2-flash,0.998498498498,2.25450675901e-06,2,0.98998998999,0.000100200300401,2,0.994244244244,6.93260828396e-05,4
direct,HumanEval/135,openrouter/openai/gpt-5-nano,1,0,7,1,0,10,1,0,17
direct,HumanEval/136,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/137,openrouter/openai/gpt-5-nano,1,0,6,0.977435387674,0.00325443956539,10,0.985897117296,0.0021533595087,16
direct,HumanEval/138,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/140,openrouter/openai/gpt-5-nano,0.877324037185,0.0302377530604,6,0.998605577689,1.74997222266e-05,10,0.953125,0.0147975663023,16
direct,HumanEval/141,openrouter/openai/gpt-5-nano,0.997001049633,2.69811099179e-06,13,0.958089668616,0.0367185081713,26,0.971060128955,0.0248163705006,39
direct,HumanEval/141,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,14,1,0,16
direct,HumanEval/142,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/143,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/144,openrouter/openai/gpt-5-nano,1,0,6,0.999108910891,7.14635820018e-06,10,0.999443069307,4.65257695324e-06,16
direct,HumanEval/145,openrouter/openai/gpt-5-nano,0.036932252638,9.60510303899e-05,13,0.0395681466755,1.54772955181e-07,36,0.0388688278492,2.69509206763e-05,49
direct,HumanEval/145,openrouter/xiaomi/mimo-v2-flash,0.0397614314115,0,2,0.0372249263042,0.000103211961991,29,0.037388571795,9.69414335098e-05,31
direct,HumanEval/146,openrouter/openai/gpt-5-nano,1,0,14,1,0,12,1,0,26
direct,HumanEval/146,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/147,openrouter/openai/gpt-5-nano,1,0,6,0.9,0.09,10,0.9375,0.05859375,16
direct,HumanEval/148,openrouter/openai/gpt-5-nano,1,0,13,0.916666666667,0.0763888888889,12,0.96,0.0384,25
direct,HumanEval/148,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/149,openrouter/openai/gpt-5-nano,1,0,13,1,0,12,1,0,25
direct,HumanEval/149,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/150,openrouter/openai/gpt-5-nano,1,0,7,1,0,10,1,0,17
direct,HumanEval/151,openrouter/openai/gpt-5-nano,0.999668325041,5.50041390615e-07,6,0.9992039801,9.50471522982e-07,10,0.999378109453,8.50845276107e-07,16
direct,HumanEval/152,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/153,openrouter/openai/gpt-5-nano,1,0,13,1,0,22,1,0,35
direct,HumanEval/153,openrouter/xiaomi/mimo-v2-flash,1,0,2,0.941176470588,0.0553633217993,17,0.947368421053,0.0498614958449,19
direct,HumanEval/154,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/155,openrouter/openai/gpt-5-nano,1,0,13,1,0,12,1,0,25
direct,HumanEval/155,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/156,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/157,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/158,openrouter/openai/gpt-5-nano,1,0,14,1,0,12,1,0,26
direct,HumanEval/158,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/159,openrouter/openai/gpt-5-nano,0.514334952217,0.147419086649,13,0.644857433809,0.15415429617,20,0.593439486515,0.155568424589,33
direct,HumanEval/159,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,28,1,0,30
direct,HumanEval/160,openrouter/openai/gpt-5-nano,0.349897889721,0.126789826137,13,0.429977876106,0.144253306347,20,0.398431214803,0.138904817905,33
direct,HumanEval/160,openrouter/xiaomi/mimo-v2-flash,0.154867256637,0,2,0.305783817952,0.104768719004,28,0.295722713864,0.0992012991533,30
direct,HumanEval/161,openrouter/openai/gpt-5-nano,1,0,7,0.9,0.09,10,0.941176470588,0.0553633217993,17
direct,HumanEval/162,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/163,openrouter/openai/gpt-5-nano,0,0,13,0,0,27,0,0,40
direct,HumanEval/163,openrouter/xiaomi/mimo-v2-flash,0,0,2,0,0,22,0,0,24
enc-dec,HumanEval/0,openrouter/openai/gpt-5-nano,1,0,18,1,0,31,1,0,49
enc-dec,HumanEval/0,openrouter/xiaomi/mimo-v2-flash,1,0,4,1,0,8,1,0,12
enc-dec,HumanEval/1,openrouter/openai/gpt-5-nano,0.395913154534,0.232222401642,18,0.454150702427,0.229618603498,90,0.444444444444,0.230523627075,108
enc-dec,HumanEval/1,openrouter/xiaomi/mimo-v2-flash,1,0,4,0.890063033,0.0731447925014,62,0.896725879485,0.0693998743849,66
enc-dec,HumanEval/2,openrouter/openai/gpt-5-nano,1,0,16,0.999822983785,8.77372727322e-07,29,0.999885922884,5.72597890685e-07,45
enc-dec,HumanEval/2,openrouter/xiaomi/mimo-v2-flash,1,0,4,1,0,8,1,0,12
enc-dec,HumanEval/3,openrouter/openai/gpt-5-nano,1,0,16,1,0,29,1,0,45
enc-dec,HumanEval/3,openrouter/xiaomi/mimo-v2-flash,1,0,4,1,0,8,1,0,12
enc-dec,HumanEval/4,openrouter/openai/gpt-5-nano,1,0,16,1,0,29,1,0,45
enc-dec,HumanEval/4,openrouter/xiaomi/mimo-v2-flash,1,0,4,1,0,8,1,0,12
