direct or enc-dec,sample id,model name,bucket,pass rate,source kind,session id,run id,source record id,source relative path,phase,split,generation type,optimization target
direct,HumanEval/0,openrouter/openai/gpt-5-nano,baseline,1.0,eval_attempt,session_000025,human_eval_dspy_run_20260515T084128Z,human_eval_dspy_run_20260515T084128Z:attempt:000004,raw/logs/eval_full_5x/baseline_direct/human_eval_dspy_run_20260515T084128Z.json,,,direct,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,baseline,1.0,optimizer_summary_task_score,session_000007,human_eval_dspy_direct_optimized_20260515T070550Z,human_eval_dspy_direct_optimized_20260515T070550Z:baseline_scores:eval:HumanEval/0,session_000007/raw/logs/dspy_optimized/human_eval_dspy_direct_optimized_20260515T070550Z_summary.json,baseline,eval,direct,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,baseline,1.0,optimizer_summary_task_score,session_000009,human_eval_dspy_direct_optimized_20260515T071204Z,human_eval_dspy_direct_optimized_20260515T071204Z:baseline_scores:eval:HumanEval/0,session_000009/raw/logs/dspy_optimized/human_eval_dspy_direct_optimized_20260515T071204Z_summary.json,baseline,eval,direct,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,baseline,1.0,optimizer_summary_task_score,session_000011,human_eval_dspy_direct_gepa_optimized_20260515T072405Z,human_eval_dspy_direct_gepa_optimized_20260515T072405Z:baseline_scores:eval:HumanEval/0,session_000011/raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T072405Z_summary.json,baseline,eval,direct_gepa,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,baseline,1.0,optimizer_summary_task_score,session_000013,human_eval_dspy_direct_gepa_optimized_20260515T073230Z,human_eval_dspy_direct_gepa_optimized_20260515T073230Z:baseline_scores:eval:HumanEval/0,session_000013/raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T073230Z_summary.json,baseline,eval,direct_gepa,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,baseline,1.0,optimizer_summary_task_score,session_000018,human_eval_dspy_direct_gepa_optimized_20260515T073248Z,human_eval_dspy_direct_gepa_optimized_20260515T073248Z:baseline_scores:eval:HumanEval/0,session_000018/raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T073248Z_summary.json,baseline,eval,direct_gepa,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,non-baseline,1.0,eval_attempt,session_000026,human_eval_dspy_run_20260515T084648Z,human_eval_dspy_run_20260515T084648Z:attempt:000000,raw/logs/eval_full_5x/gepa_direct/human_eval_dspy_run_20260515T084648Z.json,,,direct,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,non-baseline,1.0,eval_attempt,session_000026,human_eval_dspy_run_20260515T084648Z,human_eval_dspy_run_20260515T084648Z:attempt:000001,raw/logs/eval_full_5x/gepa_direct/human_eval_dspy_run_20260515T084648Z.json,,,direct,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,non-baseline,1.0,eval_attempt,session_000026,human_eval_dspy_run_20260515T084648Z,human_eval_dspy_run_20260515T084648Z:attempt:000002,raw/logs/eval_full_5x/gepa_direct/human_eval_dspy_run_20260515T084648Z.json,,,direct,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,non-baseline,1.0,eval_attempt,session_000026,human_eval_dspy_run_20260515T084648Z,human_eval_dspy_run_20260515T084648Z:attempt:000003,raw/logs/eval_full_5x/gepa_direct/human_eval_dspy_run_20260515T084648Z.json,,,direct,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,non-baseline,1.0,eval_attempt,session_000026,human_eval_dspy_run_20260515T084648Z,human_eval_dspy_run_20260515T084648Z:attempt:000004,raw/logs/eval_full_5x/gepa_direct/human_eval_dspy_run_20260515T084648Z.json,,,direct,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,non-baseline,1.0,eval_attempt,session_000028,human_eval_dspy_run_20260515T084756Z,human_eval_dspy_run_20260515T084756Z:attempt:000000,raw/logs/eval_full_5x/mipro_direct/human_eval_dspy_run_20260515T084756Z.json,,,direct,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,non-baseline,1.0,eval_attempt,session_000028,human_eval_dspy_run_20260515T084756Z,human_eval_dspy_run_20260515T084756Z:attempt:000001,raw/logs/eval_full_5x/mipro_direct/human_eval_dspy_run_20260515T084756Z.json,,,direct,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,non-baseline,1.0,eval_attempt,session_000028,human_eval_dspy_run_20260515T084756Z,human_eval_dspy_run_20260515T084756Z:attempt:000002,raw/logs/eval_full_5x/mipro_direct/human_eval_dspy_run_20260515T084756Z.json,,,direct,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,non-baseline,1.0,eval_attempt,session_000028,human_eval_dspy_run_20260515T084756Z,human_eval_dspy_run_20260515T084756Z:attempt:000003,raw/logs/eval_full_5x/mipro_direct/human_eval_dspy_run_20260515T084756Z.json,,,direct,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,non-baseline,1.0,eval_attempt,session_000028,human_eval_dspy_run_20260515T084756Z,human_eval_dspy_run_20260515T084756Z:attempt:000004,raw/logs/eval_full_5x/mipro_direct/human_eval_dspy_run_20260515T084756Z.json,,,direct,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,non-baseline,1.0,optimizer_summary_task_score,session_000007,human_eval_dspy_direct_optimized_20260515T070550Z,human_eval_dspy_direct_optimized_20260515T070550Z:optimized_scores:eval:HumanEval/0,session_000007/raw/logs/dspy_optimized/human_eval_dspy_direct_optimized_20260515T070550Z_summary.json,optimized,eval,direct,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,non-baseline,1.0,optimizer_summary_task_score,session_000009,human_eval_dspy_direct_optimized_20260515T071204Z,human_eval_dspy_direct_optimized_20260515T071204Z:optimized_scores:eval:HumanEval/0,session_000009/raw/logs/dspy_optimized/human_eval_dspy_direct_optimized_20260515T071204Z_summary.json,optimized,eval,direct,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,non-baseline,1.0,optimizer_summary_task_score,session_000011,human_eval_dspy_direct_gepa_optimized_20260515T072405Z,human_eval_dspy_direct_gepa_optimized_20260515T072405Z:optimized_scores:eval:HumanEval/0,session_000011/raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T072405Z_summary.json,optimized,eval,direct_gepa,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,non-baseline,1.0,optimizer_summary_task_score,session_000013,human_eval_dspy_direct_gepa_optimized_20260515T073230Z,human_eval_dspy_direct_gepa_optimized_20260515T073230Z:optimized_scores:eval:HumanEval/0,session_000013/raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T073230Z_summary.json,optimized,eval,direct_gepa,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,non-baseline,1.0,optimizer_summary_task_score,session_000018,human_eval_dspy_direct_gepa_optimized_20260515T073248Z,human_eval_dspy_direct_gepa_optimized_20260515T073248Z:optimized_scores:eval:HumanEval/0,session_000018/raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T073248Z_summary.json,optimized,eval,direct_gepa,
direct,HumanEval/0,openrouter/xiaomi/mimo-v2-flash,baseline,1.0,optimizer_summary_task_score,session_000019,human_eval_dspy_direct_optimized_20260515T075418Z,human_eval_dspy_direct_optimized_20260515T075418Z:baseline_scores:eval:HumanEval/0,session_000019/raw/logs/dspy_optimized/human_eval_dspy_direct_optimized_20260515T075418Z_summary.json,baseline,eval,direct,
direct,HumanEval/0,openrouter/xiaomi/mimo-v2-flash,baseline,1.0,optimizer_summary_task_score,session_000021,human_eval_dspy_direct_gepa_optimized_20260515T075220Z,human_eval_dspy_direct_gepa_optimized_20260515T075220Z:baseline_scores:eval:HumanEval/0,session_000021/raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T075220Z_summary.json,baseline,eval,direct_gepa,
direct,HumanEval/0,openrouter/xiaomi/mimo-v2-flash,non-baseline,1.0,optimizer_summary_task_score,session_000019,human_eval_dspy_direct_optimized_20260515T075418Z,human_eval_dspy_direct_optimized_20260515T075418Z:optimized_scores:eval:HumanEval/0,session_000019/raw/logs/dspy_optimized/human_eval_dspy_direct_optimized_20260515T075418Z_summary.json,optimized,eval,direct,
direct,HumanEval/0,openrouter/xiaomi/mimo-v2-flash,non-baseline,1.0,optimizer_summary_task_score,session_000021,human_eval_dspy_direct_gepa_optimized_20260515T075220Z,human_eval_dspy_direct_gepa_optimized_20260515T075220Z:optimized_scores:eval:HumanEval/0,session_000021/raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T075220Z_summary.json,optimized,eval,direct_gepa,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,baseline,1.0,eval_attempt,session_000003,human_eval_dspy_direct_eval_20260515T051718Z,human_eval_dspy_direct_eval_20260515T051718Z:attempt:000022,raw/logs/human_eval_dspy_direct_eval_20260515T051718Z.json,,,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,baseline,1.0,eval_attempt,session_000005,human_eval_dspy_run_20260515T061814Z,human_eval_dspy_run_20260515T061814Z:attempt:000005,raw/logs/human_eval_dspy_run_20260515T061814Z.json,,,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,baseline,1.0,eval_attempt,session_000005,human_eval_dspy_run_20260515T061814Z,human_eval_dspy_run_20260515T061814Z:attempt:000006,raw/logs/human_eval_dspy_run_20260515T061814Z.json,,,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,baseline,1.0,eval_attempt,session_000005,human_eval_dspy_run_20260515T061814Z,human_eval_dspy_run_20260515T061814Z:attempt:000007,raw/logs/human_eval_dspy_run_20260515T061814Z.json,,,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,baseline,1.0,eval_attempt,session_000005,human_eval_dspy_run_20260515T061814Z,human_eval_dspy_run_20260515T061814Z:attempt:000008,raw/logs/human_eval_dspy_run_20260515T061814Z.json,,,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,baseline,1.0,eval_attempt,session_000005,human_eval_dspy_run_20260515T061814Z,human_eval_dspy_run_20260515T061814Z:attempt:000009,raw/logs/human_eval_dspy_run_20260515T061814Z.json,,,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,baseline,1.0,eval_attempt,session_000025,human_eval_dspy_run_20260515T084128Z,human_eval_dspy_run_20260515T084128Z:attempt:000005,raw/logs/eval_full_5x/baseline_direct/human_eval_dspy_run_20260515T084128Z.json,,,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,baseline,1.0,eval_attempt,session_000025,human_eval_dspy_run_20260515T084128Z,human_eval_dspy_run_20260515T084128Z:attempt:000006,raw/logs/eval_full_5x/baseline_direct/human_eval_dspy_run_20260515T084128Z.json,,,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,baseline,1.0,eval_attempt,session_000025,human_eval_dspy_run_20260515T084128Z,human_eval_dspy_run_20260515T084128Z:attempt:000007,raw/logs/eval_full_5x/baseline_direct/human_eval_dspy_run_20260515T084128Z.json,,,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,baseline,1.0,eval_attempt,session_000025,human_eval_dspy_run_20260515T084128Z,human_eval_dspy_run_20260515T084128Z:attempt:000008,raw/logs/eval_full_5x/baseline_direct/human_eval_dspy_run_20260515T084128Z.json,,,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,baseline,1.0,eval_attempt,session_000025,human_eval_dspy_run_20260515T084128Z,human_eval_dspy_run_20260515T084128Z:attempt:000009,raw/logs/eval_full_5x/baseline_direct/human_eval_dspy_run_20260515T084128Z.json,,,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,baseline,1.0,optimizer_summary_task_score,session_000007,human_eval_dspy_direct_optimized_20260515T070550Z,human_eval_dspy_direct_optimized_20260515T070550Z:baseline_scores:dev:HumanEval/1,session_000007/raw/logs/dspy_optimized/human_eval_dspy_direct_optimized_20260515T070550Z_summary.json,baseline,dev,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,baseline,1.0,optimizer_summary_task_score,session_000009,human_eval_dspy_direct_optimized_20260515T071204Z,human_eval_dspy_direct_optimized_20260515T071204Z:baseline_scores:dev:HumanEval/1,session_000009/raw/logs/dspy_optimized/human_eval_dspy_direct_optimized_20260515T071204Z_summary.json,baseline,dev,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,baseline,1.0,optimizer_summary_task_score,session_000011,human_eval_dspy_direct_gepa_optimized_20260515T072405Z,human_eval_dspy_direct_gepa_optimized_20260515T072405Z:baseline_scores:dev:HumanEval/1,session_000011/raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T072405Z_summary.json,baseline,dev,direct_gepa,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,baseline,1.0,optimizer_summary_task_score,session_000013,human_eval_dspy_direct_gepa_optimized_20260515T073230Z,human_eval_dspy_direct_gepa_optimized_20260515T073230Z:baseline_scores:dev:HumanEval/1,session_000013/raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T073230Z_summary.json,baseline,dev,direct_gepa,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,baseline,1.0,optimizer_summary_task_score,session_000018,human_eval_dspy_direct_gepa_optimized_20260515T073248Z,human_eval_dspy_direct_gepa_optimized_20260515T073248Z:baseline_scores:dev:HumanEval/1,session_000018/raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T073248Z_summary.json,baseline,dev,direct_gepa,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,non-baseline,1.0,eval_attempt,session_000026,human_eval_dspy_run_20260515T084648Z,human_eval_dspy_run_20260515T084648Z:attempt:000005,raw/logs/eval_full_5x/gepa_direct/human_eval_dspy_run_20260515T084648Z.json,,,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,non-baseline,1.0,eval_attempt,session_000026,human_eval_dspy_run_20260515T084648Z,human_eval_dspy_run_20260515T084648Z:attempt:000006,raw/logs/eval_full_5x/gepa_direct/human_eval_dspy_run_20260515T084648Z.json,,,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,non-baseline,1.0,eval_attempt,session_000026,human_eval_dspy_run_20260515T084648Z,human_eval_dspy_run_20260515T084648Z:attempt:000007,raw/logs/eval_full_5x/gepa_direct/human_eval_dspy_run_20260515T084648Z.json,,,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,non-baseline,1.0,eval_attempt,session_000026,human_eval_dspy_run_20260515T084648Z,human_eval_dspy_run_20260515T084648Z:attempt:000008,raw/logs/eval_full_5x/gepa_direct/human_eval_dspy_run_20260515T084648Z.json,,,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,non-baseline,1.0,eval_attempt,session_000026,human_eval_dspy_run_20260515T084648Z,human_eval_dspy_run_20260515T084648Z:attempt:000009,raw/logs/eval_full_5x/gepa_direct/human_eval_dspy_run_20260515T084648Z.json,,,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,non-baseline,1.0,eval_attempt,session_000028,human_eval_dspy_run_20260515T084756Z,human_eval_dspy_run_20260515T084756Z:attempt:000005,raw/logs/eval_full_5x/mipro_direct/human_eval_dspy_run_20260515T084756Z.json,,,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,non-baseline,1.0,eval_attempt,session_000028,human_eval_dspy_run_20260515T084756Z,human_eval_dspy_run_20260515T084756Z:attempt:000006,raw/logs/eval_full_5x/mipro_direct/human_eval_dspy_run_20260515T084756Z.json,,,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,non-baseline,1.0,eval_attempt,session_000028,human_eval_dspy_run_20260515T084756Z,human_eval_dspy_run_20260515T084756Z:attempt:000007,raw/logs/eval_full_5x/mipro_direct/human_eval_dspy_run_20260515T084756Z.json,,,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,non-baseline,1.0,eval_attempt,session_000028,human_eval_dspy_run_20260515T084756Z,human_eval_dspy_run_20260515T084756Z:attempt:000008,raw/logs/eval_full_5x/mipro_direct/human_eval_dspy_run_20260515T084756Z.json,,,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,non-baseline,1.0,eval_attempt,session_000028,human_eval_dspy_run_20260515T084756Z,human_eval_dspy_run_20260515T084756Z:attempt:000009,raw/logs/eval_full_5x/mipro_direct/human_eval_dspy_run_20260515T084756Z.json,,,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,non-baseline,1.0,gepa_search_metric_call,session_000013,human_eval_dspy_direct_gepa_optimized_20260515T073230Z,human_eval_dspy_direct_gepa_optimized_20260515T073230Z:gepa_metric_call:000003,raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T073230Z_events.jsonl,candidate,,direct_gepa,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,non-baseline,1.0,gepa_search_metric_call,session_000018,human_eval_dspy_direct_gepa_optimized_20260515T073248Z,human_eval_dspy_direct_gepa_optimized_20260515T073248Z:gepa_metric_call:000072,raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T073248Z_events.jsonl,candidate,,direct_gepa,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,non-baseline,1.0,gepa_search_metric_call,session_000018,human_eval_dspy_direct_gepa_optimized_20260515T073248Z,human_eval_dspy_direct_gepa_optimized_20260515T073248Z:gepa_metric_call:000093,raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T073248Z_events.jsonl,candidate,,direct_gepa,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,non-baseline,1.0,gepa_search_metric_call,session_000018,human_eval_dspy_direct_gepa_optimized_20260515T073248Z,human_eval_dspy_direct_gepa_optimized_20260515T073248Z:gepa_metric_call:000139,raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T073248Z_events.jsonl,candidate,,direct_gepa,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,non-baseline,1.0,gepa_search_metric_call,session_000018,human_eval_dspy_direct_gepa_optimized_20260515T073248Z,human_eval_dspy_direct_gepa_optimized_20260515T073248Z:gepa_metric_call:000213,raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T073248Z_events.jsonl,candidate,,direct_gepa,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,non-baseline,1.0,gepa_search_metric_call,session_000018,human_eval_dspy_direct_gepa_optimized_20260515T073248Z,human_eval_dspy_direct_gepa_optimized_20260515T073248Z:gepa_metric_call:000272,raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T073248Z_events.jsonl,candidate,,direct_gepa,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,non-baseline,1.0,gepa_search_metric_call,session_000018,human_eval_dspy_direct_gepa_optimized_20260515T073248Z,human_eval_dspy_direct_gepa_optimized_20260515T073248Z:gepa_metric_call:000293,raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T073248Z_events.jsonl,candidate,,direct_gepa,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,non-baseline,1.0,gepa_search_metric_call,session_000018,human_eval_dspy_direct_gepa_optimized_20260515T073248Z,human_eval_dspy_direct_gepa_optimized_20260515T073248Z:gepa_metric_call:000389,raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T073248Z_events.jsonl,candidate,,direct_gepa,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,non-baseline,1.0,gepa_search_metric_call,session_000018,human_eval_dspy_direct_gepa_optimized_20260515T073248Z,human_eval_dspy_direct_gepa_optimized_20260515T073248Z:gepa_metric_call:000409,raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T073248Z_events.jsonl,candidate,,direct_gepa,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,non-baseline,1.0,optimizer_summary_task_score,session_000007,human_eval_dspy_direct_optimized_20260515T070550Z,human_eval_dspy_direct_optimized_20260515T070550Z:optimized_scores:dev:HumanEval/1,session_000007/raw/logs/dspy_optimized/human_eval_dspy_direct_optimized_20260515T070550Z_summary.json,optimized,dev,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,non-baseline,1.0,optimizer_summary_task_score,session_000009,human_eval_dspy_direct_optimized_20260515T071204Z,human_eval_dspy_direct_optimized_20260515T071204Z:optimized_scores:dev:HumanEval/1,session_000009/raw/logs/dspy_optimized/human_eval_dspy_direct_optimized_20260515T071204Z_summary.json,optimized,dev,direct,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,non-baseline,1.0,optimizer_summary_task_score,session_000011,human_eval_dspy_direct_gepa_optimized_20260515T072405Z,human_eval_dspy_direct_gepa_optimized_20260515T072405Z:optimized_scores:dev:HumanEval/1,session_000011/raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T072405Z_summary.json,optimized,dev,direct_gepa,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,non-baseline,1.0,optimizer_summary_task_score,session_000013,human_eval_dspy_direct_gepa_optimized_20260515T073230Z,human_eval_dspy_direct_gepa_optimized_20260515T073230Z:optimized_scores:dev:HumanEval/1,session_000013/raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T073230Z_summary.json,optimized,dev,direct_gepa,
direct,HumanEval/1,openrouter/openai/gpt-5-nano,non-baseline,1.0,optimizer_summary_task_score,session_000018,human_eval_dspy_direct_gepa_optimized_20260515T073248Z,human_eval_dspy_direct_gepa_optimized_20260515T073248Z:optimized_scores:dev:HumanEval/1,session_000018/raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T073248Z_summary.json,optimized,dev,direct_gepa,
direct,HumanEval/1,openrouter/xiaomi/mimo-v2-flash,baseline,1.0,optimizer_summary_task_score,session_000019,human_eval_dspy_direct_optimized_20260515T075418Z,human_eval_dspy_direct_optimized_20260515T075418Z:baseline_scores:dev:HumanEval/1,session_000019/raw/logs/dspy_optimized/human_eval_dspy_direct_optimized_20260515T075418Z_summary.json,baseline,dev,direct,
direct,HumanEval/1,openrouter/xiaomi/mimo-v2-flash,baseline,1.0,optimizer_summary_task_score,session_000021,human_eval_dspy_direct_gepa_optimized_20260515T075220Z,human_eval_dspy_direct_gepa_optimized_20260515T075220Z:baseline_scores:dev:HumanEval/1,session_000021/raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T075220Z_summary.json,baseline,dev,direct_gepa,
direct,HumanEval/1,openrouter/xiaomi/mimo-v2-flash,non-baseline,1.0,gepa_search_metric_call,session_000021,human_eval_dspy_direct_gepa_optimized_20260515T075220Z,human_eval_dspy_direct_gepa_optimized_20260515T075220Z:gepa_metric_call:000070,raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T075220Z_events.jsonl,candidate,,direct_gepa,
direct,HumanEval/1,openrouter/xiaomi/mimo-v2-flash,non-baseline,1.0,gepa_search_metric_call,session_000021,human_eval_dspy_direct_gepa_optimized_20260515T075220Z,human_eval_dspy_direct_gepa_optimized_20260515T075220Z:gepa_metric_call:000099,raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T075220Z_events.jsonl,candidate,,direct_gepa,
direct,HumanEval/1,openrouter/xiaomi/mimo-v2-flash,non-baseline,1.0,gepa_search_metric_call,session_000021,human_eval_dspy_direct_gepa_optimized_20260515T075220Z,human_eval_dspy_direct_gepa_optimized_20260515T075220Z:gepa_metric_call:000164,raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T075220Z_events.jsonl,candidate,,direct_gepa,
direct,HumanEval/1,openrouter/xiaomi/mimo-v2-flash,non-baseline,1.0,gepa_search_metric_call,session_000021,human_eval_dspy_direct_gepa_optimized_20260515T075220Z,human_eval_dspy_direct_gepa_optimized_20260515T075220Z:gepa_metric_call:000187,raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T075220Z_events.jsonl,candidate,,direct_gepa,
direct,HumanEval/1,openrouter/xiaomi/mimo-v2-flash,non-baseline,1.0,gepa_search_metric_call,session_000021,human_eval_dspy_direct_gepa_optimized_20260515T075220Z,human_eval_dspy_direct_gepa_optimized_20260515T075220Z:gepa_metric_call:000225,raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T075220Z_events.jsonl,candidate,,direct_gepa,
direct,HumanEval/1,openrouter/xiaomi/mimo-v2-flash,non-baseline,1.0,gepa_search_metric_call,session_000021,human_eval_dspy_direct_gepa_optimized_20260515T075220Z,human_eval_dspy_direct_gepa_optimized_20260515T075220Z:gepa_metric_call:000309,raw/logs/dspy_optimized/human_eval_dspy_direct_gepa_optimized_20260515T075220Z_events.jsonl,candidate,,direct_gepa,
